match_id,match_time,bo,team1_id,team1,team2_id,team2,event_id,event_name,event_logo,event_start_time,event_end_time,score1,score2,status
csgo_mc_2393500,2026-04-25 01:00:00,3,,TBD,,TBD,csgo_tt_9129, ESL 挑战者联赛 S51 欧洲杯 第4季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d2jeda4conkqbk3bnkm0.png,2026-04-22 00:00:00,2026-05-04 06:00:00,0,0,0
csgo_mc_2393501,2026-04-25 01:00:00,3,,TBD,,TBD,csgo_tt_9129, ESL 挑战者联赛 S51 欧洲杯 第4季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d2jeda4conkqbk3bnkm0.png,2026-04-22 00:00:00,2026-05-04 06:00:00,0,0,0
csgo_mc_2393502,2026-04-25 01:00:00,3,,TBD,,TBD,csgo_tt_9129, ESL 挑战者联赛 S51 欧洲杯 第4季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d2jeda4conkqbk3bnkm0.png,2026-04-22 00:00:00,2026-05-04 06:00:00,0,0,0
csgo_mc_2393503,2026-04-25 01:00:00,3,,TBD,,TBD,csgo_tt_9129, ESL 挑战者联赛 S51 欧洲杯 第4季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d2jeda4conkqbk3bnkm0.png,2026-04-22 00:00:00,2026-05-04 06:00:00,0,0,0
csgo_mc_2393311,2026-04-25 01:30:00,3,,TBD,,TBD,csgo_tt_9132,Tipsport 征服布拉格 2026,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d7bheo4conkpudhr3rs0.png,2026-04-12 00:00:00,2026-04-29 23:59:59,0,0,0
csgo_mc_2393450,2026-04-25 03:00:00,3,,TBD,,TBD,csgo_tt_9142,BB RUSH B Summit 第3赛季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d5e5ofkconkpudhr3g00.png,2026-04-22 00:00:00,2026-04-26 23:59:59,0,0,0
csgo_mc_2393451,2026-04-25 06:00:00,3,,TBD,,TBD,csgo_tt_9142,BB RUSH B Summit 第3赛季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d5e5ofkconkpudhr3g00.png,2026-04-22 00:00:00,2026-04-26 23:59:59,0,0,0
csgo_mc_2393452,2026-04-25 09:00:00,3,,TBD,,TBD,csgo_tt_9142,BB RUSH B Summit 第3赛季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d5e5ofkconkpudhr3g00.png,2026-04-22 00:00:00,2026-04-26 23:59:59,0,0,0
csgo_mc_2393417,2026-04-25 16:00:00,3,,TBD,,TBD,csgo_tt_8956,CCT 全球总决赛 2026,https://oss.5eplay.com/sport/csgo/event/7517.png,2026-04-24 18:00:00,2026-04-26 18:00:00,0,0,0
csgo_mc_2393195,2026-04-25 16:00:00,3,,TBD,,TBD,csgo_tt_9120,NODWIN Clutch 系列 7,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d3aacfcconkqbk3bnqo0.png,2026-04-14 00:00:00,2026-04-28 06:00:00,0,0,0
csgo_mc_2393426,2026-04-25 17:00:00,3,csgo_tm_10278,9INE,hltv_team_13012,HyperSpirit,csgo_tt_9036,LORGAR排名赛 S1,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d6irdq4conkpudhr3mv0.webp,2026-04-25 00:00:00,2026-04-26 23:59:59,0,0,0
csgo_mc_2393391,2026-04-25 19:00:00,3,,TBD,,TBD,csgo_tt_9139, CCT 2026 挑战者 欧洲 第1季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d7hdg6cconkpudhr49tg.png,2026-04-18 00:00:00,2026-04-26 23:59:59,0,0,0
csgo_mc_2393418,2026-04-25 19:00:00,3,,TBD,,TBD,csgo_tt_8956,CCT 全球总决赛 2026,https://oss.5eplay.com/sport/csgo/event/7517.png,2026-04-24 18:00:00,2026-04-26 18:00:00,0,0,0
csgo_mc_2393196,2026-04-25 19:00:00,3,,TBD,,TBD,csgo_tt_9120,NODWIN Clutch 系列 7,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d3aacfcconkqbk3bnqo0.png,2026-04-14 00:00:00,2026-04-28 06:00:00,0,0,0
