match_id,map_index,map_name,team1_score,team2_score,winner_side,winner_team_id,winner_team_name,fetched_at
csgo_mc_2374642,1,Dust2,13,16,t2,csgo_tm_11948,Nouns,2026-04-22 15:11:37
csgo_mc_2374643,1,Ancient,13,7,t1,csgo_tm_11388,Limitless,2026-04-22 15:11:37
csgo_mc_2374648,1,Inferno,10,13,t2,hltv_team_12818,FT,2026-04-22 15:11:43
csgo_mc_2374648,2,Anubis,10,13,t2,hltv_team_12818,FT,2026-04-22 15:11:43
csgo_mc_2374649,1,Dust2,13,10,t1,csgo_tm_11641,Metizport,2026-04-22 15:11:43
csgo_mc_2374649,2,Inferno,13,11,t1,csgo_tm_11641,Metizport,2026-04-22 15:11:43
csgo_mc_2374650,1,Ancient,13,5,t1,hltv_team_12642,Rebels,2026-04-22 15:11:40
csgo_mc_2374650,2,Nuke,2,13,t2,hltv_team_12885,DASH,2026-04-22 15:11:40
csgo_mc_2374650,3,Anubis,13,7,t1,hltv_team_12642,Rebels,2026-04-22 15:11:40
csgo_mc_2374651,1,Dust2,13,16,t2,hltv_team_12886,Meteor,2026-04-22 15:11:39
csgo_mc_2374651,2,Inferno,13,8,t1,csgo_tm_11571,Gaimin Gladiators,2026-04-22 15:11:39
csgo_mc_2374651,3,Ancient,13,10,t1,csgo_tm_11571,Gaimin Gladiators,2026-04-22 15:11:39
csgo_mc_2374652,1,Inferno,19,15,t1,csgo_tm_11176,MOUZ.N,2026-04-22 15:11:36
csgo_mc_2374652,2,Vertigo,13,8,t1,csgo_tm_11176,MOUZ.N,2026-04-22 15:11:36
csgo_mc_2374653,1,Vertigo,8,13,t2,csgo_tm_4501,aTTaX,2026-04-22 15:11:36
csgo_mc_2374653,2,Inferno,13,4,t1,csgo_tm_5996,TSM,2026-04-22 15:11:36
csgo_mc_2374653,3,Ancient,13,2,t1,csgo_tm_5996,TSM,2026-04-22 15:11:36
csgo_mc_2374654,1,Vertigo,4,13,t2,csgo_tm_10947,Rhyno,2026-04-22 15:11:36
csgo_mc_2374654,2,Inferno,13,16,t2,csgo_tm_10947,Rhyno,2026-04-22 15:11:36
csgo_mc_2374655,1,Dust2,13,10,t1,csgo_tm_11164,ITB,2026-04-22 15:11:35
csgo_mc_2374655,2,Mirage,13,5,t1,csgo_tm_11164,ITB,2026-04-22 15:11:35
csgo_mc_2374656,1,Dust2,14,16,t2,hltv_team_12886,Meteor,2026-04-22 15:11:28
csgo_mc_2374656,2,Nuke,13,4,t1,csgo_tm_11523,ZT,2026-04-22 15:11:28
csgo_mc_2374656,3,Anubis,19,17,t1,csgo_tm_11523,ZT,2026-04-22 15:11:28
csgo_mc_2374657,1,Vertigo,13,10,t1,csgo_tm_10873,ENTER,2026-04-22 15:11:27
csgo_mc_2374657,2,Anubis,13,8,t1,csgo_tm_10873,ENTER,2026-04-22 15:11:27
csgo_mc_2374658,1,Ancient,1,13,t2,csgo_tm_5996,TSM,2026-04-22 15:11:25
csgo_mc_2374658,2,Mirage,10,13,t2,csgo_tm_5996,TSM,2026-04-22 15:11:25
csgo_mc_2374659,1,Anubis,13,10,t1,hltv_team_12642,Rebels,2026-04-22 15:11:25
csgo_mc_2374659,2,Ancient,13,4,t1,hltv_team_12642,Rebels,2026-04-22 15:11:25
csgo_mc_2374660,1,Ancient,13,7,t1,csgo_tm_11176,MOUZ.N,2026-04-22 15:11:22
csgo_mc_2374660,2,Vertigo,10,13,t2,csgo_tm_11164,ITB,2026-04-22 15:11:22
csgo_mc_2374660,3,Inferno,13,10,t1,csgo_tm_11176,MOUZ.N,2026-04-22 15:11:22
csgo_mc_2374661,1,Anubis,10,13,t2,hltv_team_12818,FT,2026-04-22 15:11:21
csgo_mc_2374661,2,Nuke,7,13,t2,hltv_team_12818,FT,2026-04-22 15:11:21
csgo_mc_2374662,1,Ancient,7,13,t2,hltv_team_12885,DASH,2026-04-22 15:11:14
csgo_mc_2374662,2,Inferno,13,7,t1,csgo_tm_7234,Endpoint,2026-04-22 15:11:14
csgo_mc_2374662,3,Dust2,8,13,t2,hltv_team_12885,DASH,2026-04-22 15:11:14
csgo_mc_2374663,1,Ancient,6,13,t2,csgo_tm_10695,Sampi,2026-04-22 15:11:12
csgo_mc_2374663,2,Inferno,16,13,t1,csgo_tm_4501,aTTaX,2026-04-22 15:11:12
csgo_mc_2374663,3,Dust2,13,11,t1,csgo_tm_4501,aTTaX,2026-04-22 15:11:12
csgo_mc_2374665,1,Dust2,8,13,t2,csgo_tm_10894,Case,2026-04-22 15:11:37
csgo_mc_2374666,1,Mirage,11,13,t2,hltv_team_12233,Solid,2026-04-22 15:11:37
csgo_mc_2374667,1,Anubis,13,3,t1,csgo_tm_9215,MIBR,2026-04-22 15:11:37
csgo_mc_2374669,1,Ancient,16,19,t2,csgo_tm_11768,ODDIK,2026-04-22 15:11:37
csgo_mc_2374670,1,Vertigo,13,8,t1,hltv_team_12233,Solid,2026-04-22 15:11:37
csgo_mc_2374671,1,Mirage,16,14,t1,hltv_team_12144,BESTIA,2026-04-22 15:11:37
csgo_mc_2374673,1,Inferno,13,4,t1,csgo_tm_9455,Imperial,2026-04-22 15:10:34
csgo_mc_2374677,1,Nuke,11,13,t2,csgo_tm_9455,Imperial,2026-04-22 15:10:34
csgo_mc_2374683,1,Mirage,3,13,t2,csgo_tm_7176,RED Canids,2026-04-22 15:11:33
csgo_mc_2374687,1,Nuke,11,13,t2,hltv_team_10900,KRÜ,2026-04-22 15:11:33
csgo_mc_2374689,1,Mirage,8,13,t2,csgo_tm_7969,Nemiga,2026-04-22 15:11:35
csgo_mc_2374689,2,Ancient,13,8,t1,csgo_tm_10333,Sangal,2026-04-22 15:11:35
csgo_mc_2374689,3,Anubis,7,13,t2,csgo_tm_7969,Nemiga,2026-04-22 15:11:35
csgo_mc_2374691,1,Inferno,7,13,t2,csgo_tm_4914,3DMAX,2026-04-22 15:11:38
csgo_mc_2374691,2,Anubis,13,7,t1,csgo_tm_11523,ZT,2026-04-22 15:11:38
csgo_mc_2374691,3,Nuke,7,13,t2,csgo_tm_4914,3DMAX,2026-04-22 15:11:38
csgo_mc_2374692,1,Mirage,13,8,t1,hltv_team_12467,PARIVISION,2026-04-22 15:11:38
csgo_mc_2374692,2,Vertigo,19,15,t1,hltv_team_12467,PARIVISION,2026-04-22 15:11:38
csgo_mc_2374693,1,Inferno,13,11,t1,csgo_tm_11883,9 Pandas,2026-04-22 15:11:38
csgo_mc_2374693,2,Nuke,13,8,t1,csgo_tm_11883,9 Pandas,2026-04-22 15:11:38
csgo_mc_2374694,1,Mirage,23,25,t2,csgo_tm_10459,ARCRED,2026-04-22 15:11:38
csgo_mc_2374694,2,Dust2,13,7,t1,csgo_tm_11811,Monte,2026-04-22 15:11:38
csgo_mc_2374694,3,Anubis,6,13,t2,csgo_tm_10459,ARCRED,2026-04-22 15:11:38
csgo_mc_2374695,1,Nuke,7,13,t2,csgo_tm_11241,B8,2026-04-22 15:11:38
csgo_mc_2374695,2,Mirage,23,25,t2,csgo_tm_11241,B8,2026-04-22 15:11:38
csgo_mc_2374704,1,Dust2,13,5,t1,hltv_team_12366,Aurora YB,2026-04-22 15:11:36
csgo_mc_2374704,2,Vertigo,3,13,t2,csgo_tm_10960,Y.NIP,2026-04-22 15:11:36
csgo_mc_2374704,3,Ancient,10,13,t2,csgo_tm_10960,Y.NIP,2026-04-22 15:11:36
csgo_mc_2374705,1,Anubis,13,7,t1,hltv_team_12747,DMS,2026-04-22 15:11:35
csgo_mc_2374705,2,Ancient,11,13,t2,csgo_tm_4501,aTTaX,2026-04-22 15:11:35
csgo_mc_2374705,3,Inferno,16,19,t2,csgo_tm_4501,aTTaX,2026-04-22 15:11:35
csgo_mc_2374706,1,Dust2,13,6,t1,hltv_team_12124,Insilio,2026-04-22 15:11:34
csgo_mc_2374706,2,Nuke,19,16,t1,hltv_team_12124,Insilio,2026-04-22 15:11:34
csgo_mc_2374707,1,Mirage,13,7,t1,hltv_team_12388,Space,2026-04-22 15:11:34
csgo_mc_2374707,2,Nuke,13,6,t1,hltv_team_12388,Space,2026-04-22 15:11:34
csgo_mc_2374708,1,Inferno,13,16,t2,csgo_tm_11419,ECSTATIC,2026-04-22 15:11:33
csgo_mc_2374708,2,Anubis,13,8,t1,hltv_team_12380,CYBERSHOKE,2026-04-22 15:11:33
csgo_mc_2374708,3,Ancient,13,1,t1,hltv_team_12380,CYBERSHOKE,2026-04-22 15:11:33
csgo_mc_2374709,1,Ancient,8,13,t2,hltv_team_12520,Monte Gen,2026-04-22 15:11:32
csgo_mc_2374709,2,Vertigo,13,7,t1,csgo_tm_12009,Permitta,2026-04-22 15:11:32
csgo_mc_2374709,3,Mirage,13,7,t1,csgo_tm_12009,Permitta,2026-04-22 15:11:32
csgo_mc_2374710,1,Ancient,13,6,t1,hltv_team_12418,Revenant,2026-04-22 15:11:32
csgo_mc_2374710,2,Nuke,16,14,t1,hltv_team_12418,Revenant,2026-04-22 15:11:32
csgo_mc_2374711,1,Mirage,13,4,t1,hltv_team_12694,RUBY,2026-04-22 15:11:31
csgo_mc_2374711,2,Ancient,4,13,t2,csgo_tm_7234,Endpoint,2026-04-22 15:11:31
csgo_mc_2374711,3,Dust2,3,13,t2,csgo_tm_7234,Endpoint,2026-04-22 15:11:31
csgo_mc_2374712,1,Inferno,13,8,t1,csgo_tm_6667,FaZe,2026-04-22 15:11:19
csgo_mc_2374712,2,Ancient,13,9,t1,csgo_tm_6667,FaZe,2026-04-22 15:11:19
csgo_mc_2374713,1,Anubis,10,13,t2,csgo_tm_10503,OG,2026-04-22 15:11:17
csgo_mc_2374713,2,Nuke,11,13,t2,csgo_tm_10503,OG,2026-04-22 15:11:17
csgo_mc_2374714,1,Inferno,3,13,t2,hltv_team_12586,AMKAL,2026-04-22 15:11:17
csgo_mc_2374714,2,Ancient,13,3,t1,csgo_tm_4411,NIP,2026-04-22 15:11:17
csgo_mc_2374714,3,Vertigo,17,19,t2,hltv_team_12586,AMKAL,2026-04-22 15:11:17
csgo_mc_2374715,1,Ancient,13,9,t1,csgo_tm_11283,Falcons,2026-04-22 15:11:11
csgo_mc_2374715,2,Dust2,16,14,t1,csgo_tm_11283,Falcons,2026-04-22 15:11:11
csgo_mc_2374716,1,Ancient,13,3,t1,csgo_tm_5005,COL,2026-04-22 15:11:11
