player_id,date,rate
csgo_pl_21023,2025-06-09T00:00:00+08:00,0.71
csgo_pl_21023,2025-06-10T00:00:00+08:00,0.9
csgo_pl_21023,2025-06-11T00:00:00+08:00,0.94
csgo_pl_21023,2025-06-13T00:00:00+08:00,0.95
csgo_pl_21023,2025-06-14T00:00:00+08:00,0.92
csgo_pl_21023,2025-06-16T00:00:00+08:00,0.96
csgo_pl_21023,2025-06-17T00:00:00+08:00,0.92
csgo_pl_21023,2025-06-19T00:00:00+08:00,0.94
csgo_pl_21023,2025-06-20T00:00:00+08:00,0.92
csgo_pl_21023,2025-06-22T00:00:00+08:00,0.94
csgo_pl_21023,2025-06-23T00:00:00+08:00,0.92
csgo_pl_21023,2025-06-25T00:00:00+08:00,0.95
csgo_pl_21023,2025-06-26T00:00:00+08:00,0.92
csgo_pl_21023,2025-06-28T00:00:00+08:00,0.96
csgo_pl_21023,2025-06-29T00:00:00+08:00,0.92
csgo_pl_21023,2025-07-01T00:00:00+08:00,0.96
csgo_pl_21023,2025-07-02T00:00:00+08:00,0.92
csgo_pl_21023,2025-07-04T00:00:00+08:00,0.96
csgo_pl_21023,2025-07-05T00:00:00+08:00,0.92
csgo_pl_21023,2025-07-07T00:00:00+08:00,0.96
csgo_pl_21023,2025-07-08T00:00:00+08:00,0.92
csgo_pl_21023,2025-07-11T00:00:00+08:00,0.92
csgo_pl_21023,2025-07-14T00:00:00+08:00,0.92
csgo_pl_21023,2025-07-15T00:00:00+08:00,1.04
csgo_pl_21023,2025-07-17T00:00:00+08:00,0.92
csgo_pl_21023,2025-07-18T00:00:00+08:00,1.04
csgo_pl_21023,2025-07-20T00:00:00+08:00,0.92
csgo_pl_21023,2025-07-21T00:00:00+08:00,1.04
csgo_pl_21023,2025-07-23T00:00:00+08:00,0.92
csgo_pl_21023,2025-07-24T00:00:00+08:00,1.04
csgo_pl_21023,2025-07-26T00:00:00+08:00,0.94
csgo_pl_21023,2025-07-27T00:00:00+08:00,1.04
csgo_pl_21023,2025-07-29T00:00:00+08:00,0.96
