player_id,metric,value,avg_value,lower_better,bad_start,bad_end,middle_start,middle_end,good_start,good_end
csgo_pl_19164,dpr,0.56,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_19164,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_19164,kast,76.3,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_19164,kpr,0.70,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_19164,rating,1.11,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_19164,swing,+0.83%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_3972,adr,70.2,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_3972,dpr,0.65,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_3972,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_3972,kast,73.7,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_3972,kpr,0.64,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_3972,rating,1.03,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_3972,swing,-0.57%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_19733,adr,69.8,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_19733,dpr,0.60,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_19733,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_19733,kast,75.7,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_19733,kpr,0.65,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_19733,rating,1.10,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_19733,swing,+0.45%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_16811,adr,69.0,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_16811,dpr,0.69,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_16811,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_16811,kast,71.7,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_16811,kpr,0.63,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_16811,rating,1.08,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_16811,swing,+0.17%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_12708,adr,74.7,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_12708,dpr,0.72,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_12708,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_12708,kast,70.9,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_12708,kpr,0.69,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_12708,rating,1.05,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_12708,swing,-0.52%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_20123,adr,78.3,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_20123,dpr,0.59,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_20123,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_20123,kast,75.4,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_20123,kpr,0.78,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_20123,rating,1.20,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_20123,swing,+1.58%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_22361,adr,80.9,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_22361,dpr,0.67,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_22361,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_22361,kast,73.2,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_22361,kpr,0.77,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_22361,rating,1.18,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_22361,swing,+0.65%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_20119,adr,75.7,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_20119,dpr,0.63,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_20119,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_20119,kast,74.4,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_20119,kpr,0.75,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_20119,rating,1.16,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_20119,swing,+0.85%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_19187,adr,78.9,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_19187,dpr,0.68,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_19187,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_19187,kast,72.6,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_19187,kpr,0.67,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_19187,rating,1.12,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_19187,swing,+0.33%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_21163,adr,70.8,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_21163,dpr,0.66,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_21163,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
