event_id,event_name,event_logo,grade,grade_label,special_grade_label,status,start_time,end_time,bonus,city_name,mode,cover
csgo_tt_6973,BLAST Premier 秋季小组赛 2023,https://oss.5eplay.com/sport/csgo/event/6973.png,2,S级赛事,S级赛事,past,2023-07-13 18:00:00,2023-07-23 18:00:00,"$177,500",丹麦，哥本哈根,2,https://oss.5eplay.com/sport/csgo/tournament/cfqr181ll806h1bg251g.png
csgo_tt_7239,EPL S18 欧洲 预选赛,https://oss.5eplay.com/sport/csgo/event/7239.png,4,B级赛事,,past,2023-07-14 23:00:00,2023-07-16 18:00:00,EPL S18 资格,欧洲线上,0,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7315,ESEA 夏季季前巡回赛 2023 北美 公开预选赛 2,https://oss.5eplay.com/sport/csgo/event/7315.png,6,资格赛B级,,past,2023-07-15 00:00:00,2023-07-16 18:00:00,晋级,北美线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7316,ESEA 夏季季前巡回赛 2023 北美 公开预选赛 3,https://oss.5eplay.com/sport/csgo/event/7316.png,6,资格赛B级,,past,2023-07-16 18:00:00,2023-07-17 16:00:00,晋级,北美线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7312,CCT 中欧系列赛 7 封闭预选赛,https://oss.5eplay.com/sport/csgo/event/7312.png,6,资格赛B级,,past,2023-07-17 18:00:00,2023-07-21 18:00:00,前4名晋级CCT 中欧系列赛 7,欧洲，线上,0,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7305,CCT 北欧系列赛 6,https://oss.5eplay.com/sport/csgo/event/7305.png,4,B级赛事,,past,2023-07-18 18:00:00,2023-07-31 18:00:00,"$50,000",欧洲，线上,0,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7321,KaBuM! 联赛 2023,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/cit1r6cconkqks63af3g.png,4,B级赛事,,past,2023-07-21 00:00:00,2023-07-23 23:59:59,"$10,400",南美，线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7320,ESEA 夏季季前巡回赛 2023 北美 公开预选赛 4,https://oss.5eplay.com/sport/csgo/event/7320.png,6,资格赛B级,,past,2023-07-21 08:00:00,2023-07-21 23:00:00,晋级,北美，线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_6812,IEM 科隆 2023 入围赛,https://oss.5eplay.com/sport/csgo/event/6812.png,2,S级赛事,S级赛事,past,2023-07-26 20:00:00,2023-07-29 06:00:00,前八名晋级IEM科隆2023,德国，科隆,2,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7291,TP 世界锦标赛 2023 欧洲 S1,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/cjs3q6kconkqks63b630.png,4,B级赛事,,past,2023-07-27 18:00:00,2023-08-13 18:00:00,"$25,000",欧洲，线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_6811,IEM 科隆 2023,https://oss.5eplay.com/sport/csgo/event/6811.png,7,S+赛事,S+赛事,past,2023-07-29 09:00:00,2023-08-07 09:00:00,"$1,000,000",德国，科隆,2,https://oss.5eplay.com/sport/csgo/tournament/cfqr1ahll806h1bg2520.png
csgo_tt_7313,ESEA 夏季季前巡回赛 2023 北美,https://oss.5eplay.com/sport/csgo/event/7313.png,4,B级赛事,,past,2023-07-30 18:00:00,2023-08-01 23:59:59,"$20,000",北美，线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7306,CCT 中欧系列赛 7,https://oss.5eplay.com/sport/csgo/event/7306.png,4,B级赛事,,past,2023-07-31 00:00:00,2023-08-18 23:59:59,"$50,000",欧洲，线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7337,CCT 南美系列赛 9,https://oss.5eplay.com/sport/csgo/event/7337.png,4,B级赛事,,past,2023-07-31 00:00:00,2023-08-14 23:59:59,"$25,000",南美，线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7331,Pin Cup V,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/cjs492kconkqks63b65g.png,4,B级赛事,,past,2023-08-01 00:00:00,2023-08-27 23:59:59,"$50,000",欧洲，线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7330,CCT 2023 线上 决赛 2,https://oss.5eplay.com/sport/csgo/event/7330.png,3,A级赛事,A级赛事,past,2023-08-02 18:00:00,2023-08-09 18:00:00,"$200,000",欧洲，线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7340,CCT 东欧系列赛1 封闭预选赛,https://oss.5eplay.com/sport/csgo/event/7340.png,4,B级赛事,,past,2023-08-05 18:00:00,2023-08-06 08:58:13,资格赛,欧洲 线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7329,CCT 东欧系列赛 1,https://oss.5eplay.com/sport/csgo/event/7329.png,4,B级赛事,,past,2023-08-07 00:00:00,2023-08-21 23:59:59,"$50,000",欧洲，线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7343,CCT 北欧系列赛 7 封闭预选赛,https://oss.5eplay.com/sport/csgo/event/7343.png,4,B级赛事,,past,2023-08-08 00:00:00,2023-08-12 23:59:59,前4名晋级CCT北欧系列赛7,欧洲，线上,0,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7272,IEM 悉尼 2023 欧洲 公开预选赛 1,https://oss.5eplay.com/sport/csgo/event/7272.png,6,资格赛B级,,past,2023-08-09 00:00:00,2023-08-10 23:59:59,晋级,欧洲，线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7328,Russian Cybersport 联赛 2023 决赛,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/cj0916sconkqks63ai40.png,4,B级赛事,,past,2023-08-10 00:00:00,2023-08-14 23:59:59,"$55,250",俄罗斯，莫斯科,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
