team_id,team_name,region,team_logo,source,fetched_at
inferno_esports,Inferno Esports,LCP,https://static.lolesports.com/teams/1758702382053_PnR_IE_Full_B.png,lolesports,2026-05-01 18:31:38
the_chiefs_esports_club,The Chiefs Esports Club,LCP,https://static.lolesports.com/teams/1733833766423_ChiefsEsportsClub-CHF-Color1.png,lolesports,2026-05-01 18:31:38
saigon_dino,Saigon Dino,LCP,https://static.lolesports.com/teams/1737108816278_SaigonDino-DINOLogo2025.png,lolesports,2026-05-01 18:31:38
ground_zero_gaming,Ground Zero Gaming,LCP,https://static.lolesports.com/teams/1766395585595_LCP_TEAMLogo_GZ_Full_B.png,lolesports,2026-05-01 18:31:38
shopify_rebellion,Shopify Rebellion,LTA,https://static.lolesports.com/teams/1701424227458_Teams204_Shopify_1632869404072.png,lolesports,2026-05-01 18:31:40
immortals_progressive,Immortals Progressive,LTA,https://static.lolesports.com/teams/imt-new-color.png,lolesports,2026-05-01 18:31:40
dignitas,Dignitas,LTA,https://static.lolesports.com/teams/DIG-FullonDark.png,lolesports,2026-05-01 18:31:40
disguised,Disguised,LTA,https://static.lolesports.com/teams/1731496922454_Disguised-Wordmark-Yellow-Main.png,lolesports,2026-05-01 18:31:40
sentinels,Sentinels,LTA,https://static.lolesports.com/teams/1767769784669_Sentinels_2020_Icon.png,lolesports,2026-05-01 18:31:40
evil_geniuses_lg,Evil Geniuses LG,LTA,https://static.lolesports.com/teams/1592590374862_EvilGeniusesEG-01-FullonDark.png,lolesports,2026-05-01 18:31:40
tsm,TSM,LTA,https://static.lolesports.com/teams/1672824696002_White-Logo-Mark.png,lolesports,2026-05-01 18:31:40
red_canids_kalunga,RED Canids Kalunga,LTA,https://static.lolesports.com/teams/1631820575924_red-2021-worlds.png,lolesports,2026-05-01 18:31:43
fluxo,Fluxo,LTA,https://static.lolesports.com/teams/1766161431111_LogoColorida.png,lolesports,2026-05-01 18:31:43
los,LOS,LTA,https://static.lolesports.com/teams/1686087430642_logo_los_white_newest.png,lolesports,2026-05-01 18:31:43
leviat_n,LEVIATÁN,LTA,https://static.lolesports.com/teams/1643795049372_LEV-CLAROWhite.png,lolesports,2026-05-01 18:31:43
liberty,Liberty,LTA,https://static.lolesports.com/teams/1643305707691_RXfNcFMU.png,lolesports,2026-05-01 18:31:43
