player_id,player_slug,player_name,team_abbrev,country,agents,rounds,rating,acs,kd,kast,adr,kpr,apr,fkpr,fdpr,hs_pct,cl_pct,clutches,kmax,kills,deaths,assists,first_kills,first_deaths,source,source_url,fetched_at
14690,lissa,lissA,EG.GC,BR,killjoy|viper|cypher,226,0.74,151.9,0.70,62%,103.4,0.52,0.24,0.08,0.10,27%,13%,3/23,19,117,166,55,17,22,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
10628,misaya,Misaya,QTD,JP,fade|sova|skye,302,0.74,151.5,0.69,72%,102.2,0.50,0.34,0.03,0.06,17%,17%,4/24,19,151,219,104,8,18,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
58707,b3zginn,b3zginn,DP,TR,veto|yoru|omen,208,0.74,177.2,0.73,61%,114.9,0.63,0.21,0.09,0.12,29%,6%,1/16,23,130,178,43,19,24,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
45025,hibari,hibari,TITA,PH,phoenix|neon|viper,247,0.74,166.3,0.73,62%,117.8,0.59,0.19,0.07,0.18,25%,27%,6/22,26,146,201,46,18,44,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
35302,eggsterr,Eggsterr,ENVY,US,omen|veto|harbor,201,0.74,170.5,0.70,64%,105.8,0.57,0.27,0.12,0.10,30%,,0/18,19,114,163,55,24,21,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
5565,ros,Rosé,BBL,TR,sova|fade|skye,380,0.74,149.1,0.70,59%,103.4,0.51,0.24,0.07,0.12,30%,7%,3/45,18,193,275,90,28,45,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
3826,adverso,adverso,SHI,CL,sova|fade|kayo,234,0.73,154.5,0.69,67%,104.1,0.52,0.34,0.08,0.09,18%,14%,2/14,20,121,176,79,18,22,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
18400,bipo,bipo,M8,IT,neon|raze|waylay,358,0.73,166.8,0.75,67%,104.6,0.58,0.21,0.13,0.18,20%,13%,3/24,20,206,276,76,46,63,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
17318,blossi,Blossi,ATNR,DE,brimstone|omen|harbor,223,0.73,141.7,0.64,67%,92.4,0.48,0.32,0.04,0.13,21%,19%,5/27,12,107,168,71,8,28,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
4525,stix,Stix,BFG,PL,skye|fade|sova,200,0.73,144.2,0.66,67%,98.2,0.49,0.25,0.07,0.07,22%,9%,3/34,16,98,149,49,13,14,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
